Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
Sonoran Green Toad ,LC,3173,Anaxyrus retiformis,AMPHIBIA,stable,Too many markers for Mexico United States: 37.09024 -95.71289  ,,,,,,
"African Darter, Darter ",LC,106003661,Anhinga rufa,AVES,decreasing,"Angola: -11.20269 17.87389, Benin: 9.30769 2.31583, Botswana: -22.32847 24.68487, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Angola: -11.20269 17.87389, Benin: 9.30769 2.31583, Botswana: -22.32847 24.68487, Burkina Faso: 12.23833 -1.56159, Burundi: -3.37306 29.91889, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Chad: 15.45417 18.73221, Congo: -0.22802 15.82766, Democratic Republic of the Congo: -4.03833 21.75866, Name not unicode cant write Equatorial Guinea: 1.65080 10.26789, Eritrea: 15.17938 39.78233, Ethiopia: 9.14500 40.48967, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Ghana: 7.94653 -1.02319, Guinea: 9.94559 -9.69665, Guinea-Bissau: 11.80375 -15.18041, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Kenya: -0.02356 37.90619, Lesotho: -29.60999 28.23361, Liberia: 6.42805 -9.42950, Madagascar: -18.76695 46.86911, Malawi: -13.25431 34.30152, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, Niger: 17.60779 8.08167, Nigeria: 9.08200 8.67528, Rwanda: -1.94028 29.87389, Senegal: 14.49740 -14.45236, Sierra Leone: 8.46055 -11.77989, Somalia: 5.15215 46.19962, South Africa: -30.55948 22.93751, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Swaziland: -26.52250 31.46587, Tanzania: -6.36903 34.88882, Uganda: 1.37333 32.29028, Zambia: -13.13390 27.84933, Zimbabwe: -19.01544 29.15486 ; Equatorial Guinea: 1.65080 10.26789, Eritrea: 15.17938 39.78233, Ethiopia: 9.14500 40.48967, Gabon: -0.80369 11.60944, The Gambia: 13.44318 -15.31014, Ghana: 7.94653 -1.02319, Guinea: 9.94559 -9.69665, Guinea-Bissau: 11.80375 -15.18041, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Kenya: -0.02356 37.90619, Lesotho: -29.60999 28.23361, Liberia: 6.42805 -9.42950, Madagascar: -18.76695 46.86911, Malawi: -13.25431 34.30152, Mali: 17.57069 -3.99617, Mauritania: 21.00789 -10.94083, Mozambique: -18.66569 35.52956, Namibia: -22.95764 18.49041, Niger: 17.60779 8.08167, Nigeria: 9.08200 8.67528, Rwanda: -1.94028 29.87389, Senegal: 14.49740 -14.45236, Sierra Leone: 8.46055 -11.77989, Somalia: 5.15215 46.19962, South Africa: -30.55948 22.93751, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Swaziland: -26.52250 31.46587, Tanzania: -6.36903 34.88882, Uganda: 1.37333 32.29028, Zambia: -13.13390 27.84933, Zimbabwe: -19.01544 29.15486 ",,"Israel: 31.04605 34.85161, Jordan: 30.58516 36.23841, Syria: 34.80208 38.99681, Turkey: 38.96375 35.24332 ",,,"Comoros: -11.64550 43.33330, Egypt: 26.82055 30.80250, Yemen: 15.55273 48.51639 ",
"Rusty Antechinus, Tropical Antechinus ",LC,136555,Antechinus adustus,MAMMALIA,decreasing,Australia: -25.27440 133.77514 ,,,,,,
Red Forewing ,LC,159861,Anthene fulvus,INSECTA,unknown,"Cameroon: 7.36972 12.35472, Cameroon: 7.36972 12.35472, Name not unicode cant write Ghana: 7.94653 -1.02319, Nigeria: 9.08200 8.67528 ; Ghana: 7.94653 -1.02319, Nigeria: 9.08200 8.67528 ",,,,,,
"Oriental Pied Hornbill, Oriental Pied-Hornbill ",LC,100600947,Anthracoceros albirostris,AVES,stable,"Bangladesh: 23.68499 90.35633, Bhutan: 27.51416 90.43360, Brunei Darussalam: 4.53528 114.72767, Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, India: 20.59368 78.96288, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Malaysia: 4.21048 101.97577, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401, Singapore: 1.35208 103.81984, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
Demoiselle Crane ,LC,106002791,Anthropoides virgo,AVES,increasing,"Afghanistan: 33.93911 67.70995, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bangladesh: 23.68499 90.35633, Bhutan: 27.51416 90.43360, Chad: 15.45417 18.73221, China: 35.86166 104.19540, Cyprus: 35.12641 33.42986, Egypt: 26.82055 30.80250, Ethiopia: 9.14500 40.48967, India: 20.59368 78.96288, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Kazakhstan: 48.01957 66.92368, Kyrgyzstan: 41.20438 74.76610, Afghanistan: 33.93911 67.70995, Armenia: 40.06910 45.03819, Azerbaijan: 40.14310 47.57693, Bangladesh: 23.68499 90.35633, Bhutan: 27.51416 90.43360, Chad: 15.45417 18.73221, China: 35.86166 104.19540, Cyprus: 35.12641 33.42986, Egypt: 26.82055 30.80250, Ethiopia: 9.14500 40.48967, India: 20.59368 78.96288, Iran: 32.42791 53.68805, Iraq: 33.22319 43.67929, Israel: 31.04605 34.85161, Kazakhstan: 48.01957 66.92368, Kyrgyzstan: 41.20438 74.76610, Too many markers for Lebanon Moldova: 47.41163 28.36989, Mongolia: 46.86250 103.84666, Burma: 21.91397 95.95622, Namibia: -22.95764 18.49041, Nepal: 28.39486 84.12401, Nigeria: 9.08200 8.67528, Oman: 21.51258 55.92325, Pakistan: 30.37532 69.34512, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Saudi Arabia: 23.88594 45.07916, Slovakia: 48.66903 19.69902, South Sudan: 7.96309 30.15893, Sudan: 12.86281 30.21764, Tajikistan: 38.86103 71.27609, Turkey: 38.96375 35.24332, Turkmenistan: 38.96972 59.55628, Ukraine: 48.37943 31.16558, Uzbekistan: 41.37749 64.58526, Yemen: 15.55273 48.51639  ",,,,,"Bulgaria: 42.73388 25.48583, Croatia: 45.10000 15.20000, Denmark: 56.26392 9.50178, Eritrea: 15.17938 39.78233, Finland: 61.92411 25.74815, Germany: 51.16569 10.45153, Greece: 39.07421 21.82431, Hungary: 47.16249 19.50330, Italy: 41.87194 12.56738, Japan: 36.20482 138.25292, Jordan: 30.58516 36.23841, Kenya: -0.02356 37.90619, South Korea: 35.90776 127.76692, Kuwait: 29.31166 47.48177, Malta: 35.93750 14.37542, Montenegro: 42.70868 19.37439, Norway: 60.47202 8.46895, Portugal: 39.39987 -8.22445, Romania: 45.94316 24.96676, Serbia: 44.01652 21.00586, Spain: 40.46367 -3.74922, Sweden: 60.12816 18.64350, Syria: 34.80208 38.99681, United Arab Emirates: 23.42408 53.84782 ",
Pallid Bat ,LC,1790,Antrozous pallidus,MAMMALIA,stable,"Canada: 56.13037 -106.34677, Cuba: 21.52176 -77.78117, Canada: 56.13037 -106.34677, Cuba: 21.52176 -77.78117, Too many markers for Mexico United States: 37.09024 -95.71289  ",,,,,,
Chestnut-headed Partridge ,LC,100600220,Arborophila cambodiana,AVES,decreasing,"Cambodia: 12.56568 104.99096, Thailand: 15.87003 100.99254 ",,,,,,
"Angwantibo, Calabar Angwantibo, Golden Potto ",LC,2054,Arctocebus calabarensis,MAMMALIA,unknown,"Cameroon: 7.36972 12.35472, Nigeria: 9.08200 8.67528 ",,,,,,
"Javan Small-toothed Palm Civet, Small-toothed Palm Civet, Three-striped Palm Civet ",LC,41691,Arctogalidia trivirgata,MAMMALIA,decreasing,"Bangladesh: 23.68499 90.35633, Brunei Darussalam: 4.53528 114.72767, Cambodia: 12.56568 104.99096, China: 35.86166 104.19540, India: 20.59368 78.96288, Indonesia: -0.78927 113.92133, Laos: 19.85627 102.49550, Malaysia: 4.21048 101.97577, Burma: 21.91397 95.95622, Singapore: 1.35208 103.81984, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,,,,,
