Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Colombia: 4.57087 -74.29733
"Humblot's Heron, Madagascar Heron",EN,106003721,Ardea humbloti,AVES,decreasing,Comoros: -11.64550 43.33330
"African Penguin, Black-footed Penguin, Jackass Penguin",EN,106003861,Spheniscus demersus,AVES,decreasing,Congo: -0.22802 15.82766
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Curaçao: 12.1833 -69.0000
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Cyprus: 35.12641 33.42986
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Cyprus: 35.12641 33.42986
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Cyprus: 35.12641 33.42986
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Czech Republic: 49.81749 15.47296
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Czech Republic: 49.81749 15.47296
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Denmark: 56.26392 9.50178
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Denmark: 56.26392 9.50178
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Denmark: 56.26392 9.50178
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Denmark: 56.26392 9.50178
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Denmark: 56.26392 9.50178
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Denmark: 56.26392 9.50178
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Djibouti: 11.82514 42.59027
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Egypt: 26.82055 30.80250
