Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Tanzania: -6.36903 34.88882
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,The Netherlands: 52.13263 5.29127
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,The Netherlands: 52.13263 5.29127
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,The Netherlands: 52.13263 5.29127
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,The Netherlands: 52.13263 5.29127
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,The Netherlands: 52.13263 5.29127
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,Tunisia: 33.88692 9.53750
"Blue-headed Quail-dove, Blue-headed Quail-Dove",EN,106002603,Starnoenas cyanocephala,AVES,decreasing,Turks and Caicos Islands: 21.69402 -71.79793
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,United Kingdom: 55.37805 -3.43597
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,United Kingdom: 55.37805 -3.43597
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,United Kingdom: 55.37805 -3.43597
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,United Kingdom: 55.37805 -3.43597
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,United Kingdom: 55.37805 -3.43597
"Spoon-billed Sandpiper, Spoonbill Sandpiper",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,United States of America: 37.09024 -95.71289
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,United States of America: 37.09024 -95.71289
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,United States Virgin Islands: 18.33576 -64.89633
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,United States Virgin Islands: 18.33576 -64.89633
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird",CR,106003847,Fregata andrewsi,AVES,decreasing,Vietnam: 14.05832 108.27720
"Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron",EN,106003746,Gorsachius goisagi,AVES,decreasing,Vietnam: 14.05832 108.27720
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,West Bank: 31.94657 35.30272
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Western Sahara: 24.21553 -12.88583
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Yemen: 15.55273 48.51639
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Yemen: 15.55273 48.51639
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Zambia: -13.13390 27.84933
