Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
"Brazilian Dwarf Brocket, Pygmy Brocket",DD,29621,Mazama nana,MAMMALIA,unknown,Argentina: -38.41610 -63.61667
"Vinaceous Amazon, Vinaceous-breasted Amazon, Vinaceous-breasted Parrot, Vinaceous Parrot",EN,106001686,Amazona vinacea,AVES,decreasing,Argentina: -38.41610 -63.61667
"Chacoan Peccary, Tagua",EN,4015,Catagonus wagneri,MAMMALIA,decreasing,Argentina: -38.41610 -63.61667
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Argentina: -38.41610 -63.61667
"Crowned Eagle, Crowned Solitary Eagle",EN,106003496,Harpyhaliaetus coronatus,AVES,decreasing,Argentina: -38.41610 -63.61667
"Chilean Guemal, Chilean Huemul, Patagonian Huemul, South Andean Deer, South Andean Huemul",EN,10054,Hippocamelus bisulcus,MAMMALIA,decreasing,Argentina: -38.41610 -63.61667
"Andean Cat, Andean Mountain Cat, Mountain Cat",EN,15452,Leopardus jacobita,MAMMALIA,decreasing,Argentina: -38.41610 -63.61667
"Marine Otter, Sea Cat",EN,12303,Lontra felina,MAMMALIA,decreasing,Argentina: -38.41610 -63.61667
"Huillin, Southern River Otter",EN,12305,Lontra provocax,MAMMALIA,decreasing,Argentina: -38.41610 -63.61667
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Argentina: -38.41610 -63.61667
"Black Fronted Curassow, Black-fronted Piping-guan, Black-fronted Piping Guan, Black-fronted Piping-Guan",EN,100060090,Pipile jacutinga,AVES,decreasing,Argentina: -38.41610 -63.61667
Atlantic Petrel,EN,106003909,Pterodroma incerta,AVES,decreasing,Argentina: -38.41610 -63.61667
Marsh Seedeater,EN,106009550,Sporophila palustris,AVES,decreasing,Argentina: -38.41610 -63.61667
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,Argentina: -38.41610 -63.61667
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Armenia: 40.06910 45.03819
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Armenia: 40.06910 45.03819
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Armenia: 40.06910 45.03819
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Armenia: 40.06910 45.03819
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Armenia: 40.06910 45.03819
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Armenia: 40.06910 45.03819
"Baudin's Black-Cockatoo, Long-billed Black Cockatoo, Long-billed Black-Cockatoo, White-tailed Black-Cockatoo",EN,106001390,Calyptorhynchus baudinii,AVES,decreasing,Australia: -25.27440 133.77514
"Carnaby's Black-Cockatoo, Short-billed Black Cockatoo, Short-billed Black-Cockatoo, Slender-billed Black-Cockatoo",EN,106001391,Calyptorhynchus latirostris,AVES,decreasing,Australia: -25.27440 133.77514
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Australia: -25.27440 133.77514
"Lord Howe Island Woodhen, Lord Howe Rail, Lord Howe Woodhen, Lord Howe Wood Rail",EN,106002850,Gallirallus sylvestris,AVES,stable,Australia: -25.27440 133.77514
