Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
"Black Snub-nosed Monkey, Yunnan Snub-nosed Monkey",EN,19597,Rhinopithecus bieti,MAMMALIA,decreasing,China: 35.86166 104.19540
"Gray Snub-nosed Monkey, Grey Snub-nosed Monkey, Guizhou Snub-nosed Monkey",EN,19595,Rhinopithecus brelichi,MAMMALIA,decreasing,China: 35.86166 104.19540
"Golden Snub-nosed Monkey, Sichuan Golden Snub-nosed Monkey",EN,19596,Rhinopithecus roxellana,MAMMALIA,decreasing,China: 35.86166 104.19540
"Brow-antlered Deer, Eld's Deer, Thamin",EN,4265,Rucervus eldii,MAMMALIA,decreasing,China: 35.86166 104.19540
"Francois's Langur,   Tonkin Leaf Monkey, White Side-burned Black Langur",EN,39853,Trachypithecus francoisi,MAMMALIA,decreasing,China: 35.86166 104.19540
"Phayre's Langur,  Phayre's Leaf Monkey",EN,22040,Trachypithecus phayrei,MAMMALIA,decreasing,China: 35.86166 104.19540
blank,EN,39869,Trachypithecus shortridgei,MAMMALIA,decreasing,China: 35.86166 104.19540
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,China: 35.86166 104.19540
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird",CR,106003847,Fregata andrewsi,AVES,decreasing,Christmas Island: -10.44753 105.69045
Abbott's Booby,EN,106003651,Papasula abbotti,AVES,decreasing,Christmas Island: -10.44753 105.69045
"Black-headed Spider Monkey, Brown-headed Spider Monkey",CR,135446,Ateles fusciceps,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Brown Spider Monkey, Variegated Spider Monkey",CR,39961,Ateles hybridus,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
blank,CR,14699281,Callicebus caquetensis,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Blue-billed Curassow, Blue-knobbed Curassow",CR,100600104,Crax alberti,AVES,decreasing,Colombia: 4.57087 -74.29733
Antioquia Antpitta,CR,160032685,Grallaria fenwickorum,AVES,decreasing,Colombia: 4.57087 -74.29733
Colombian Woolly Monkey,CR,39926,Lagothrix lugens,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Lehmann's Poison Frog, Red-banded Poison Frog",CR,55190,Oophaga lehmanni,AMPHIBIA,decreasing,Colombia: 4.57087 -74.29733
Waved Albatross,CR,106003955,Phoebastria irrorata,AVES,decreasing,Colombia: 4.57087 -74.29733
Taurus Frog,CR,135747,Ranitomeya dorisswansonae,AMPHIBIA,unknown,Colombia: 4.57087 -74.29733
Lesser Capybara,DD,136277,Hydrochoerus isthmius,MAMMALIA,unknown,Colombia: 4.57087 -74.29733
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
Red Brocket,DD,29619,Mazama americana,MAMMALIA,unknown,Colombia: 4.57087 -74.29733
Central American Red Brocket,DD,136290,Mazama temama,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Little Coati, Mountain Coati",DD,14357,Nasuella olivacea,MAMMALIA,unknown,Colombia: 4.57087 -74.29733
Chestnut-bellied Hummingbird,EN,106001955,Amazilia castaneiventris,AVES,decreasing,Colombia: 4.57087 -74.29733
Great Green Macaw,EN,106001550,Ara ambiguus,AVES,decreasing,Colombia: 4.57087 -74.29733
"Long-haired Spider Monkey, White-bellied Spider Monkey",EN,2276,Ateles belzebuth,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Black-handed Spider Monkey, Central American Spider Monkey, Geoffroy's Spider Monkey,  Mono Colorado",EN,2279,Ateles geoffroyi,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
Red Siskin,EN,106008818,Carduelis cucullata,AVES,decreasing,Colombia: 4.57087 -74.29733
Wattled Curassow,EN,100600107,Crax globulosa,AVES,decreasing,Colombia: 4.57087 -74.29733
"Banded Ground-cuckoo, Banded Ground Cuckoo, Banded Ground-Cuckoo",EN,106001332,Neomorphus radiolosus,AVES,decreasing,Colombia: 4.57087 -74.29733
"Gorgeted Wood-quail, Gorgeted Wood Quail, Gorgeted Wood-Quail",EN,100600333,Odontophorus strophium,AVES,decreasing,Colombia: 4.57087 -74.29733
"Yellow-eared Conure, Yellow-eared Parrot",EN,106001583,Ognorhynchus icterotis,AVES,increasing,Colombia: 4.57087 -74.29733
"Helmeted Curassow, Northern Helmeted Curassow",EN,100600101,Pauxi pauxi,AVES,decreasing,Colombia: 4.57087 -74.29733
Baudo Guan,EN,100060074,Penelope ortoni,AVES,decreasing,Colombia: 4.57087 -74.29733
Cauca Guan,EN,100060080,Penelope perspicax,AVES,decreasing,Colombia: 4.57087 -74.29733
Golden Poison Frog,EN,55264,Phyllobates terribilis,AMPHIBIA,decreasing,Colombia: 4.57087 -74.29733
Baudo Oropendola,EN,106009665,Psarocolius cassini,AVES,decreasing,Colombia: 4.57087 -74.29733
"Giant Brazilian Otter, Giant Otter",EN,18711,Pteronura brasiliensis,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Santa Marta Conure, Santa Marta Parakeet",EN,106001596,Pyrrhura viridicata,AVES,decreasing,Colombia: 4.57087 -74.29733
Bogota Rail,EN,106002868,Rallus semiplumbeus,AVES,decreasing,Colombia: 4.57087 -74.29733
Cauca Poison Frog,EN,55177,Ranitomeya bombetes,AMPHIBIA,decreasing,Colombia: 4.57087 -74.29733
blank,EN,55211,Ranitomeya virolinensis,AMPHIBIA,decreasing,Colombia: 4.57087 -74.29733
"Silvery-brown Bare-face Tamarin, Silvery-brown Tamarin, White-footed Tamarin",EN,19819,Saguinus leucopus,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Baird's Tapir, Central American Tapir",EN,21471,Tapirus bairdii,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Andean Tapir, Mountain Tapir, Woolly Tapir",EN,21473,Tapirus pinchaque,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733
"Anjouan Scops-owl, Anjouan Scops Owl",CR,106002183,Otus capnodes,AVES,decreasing,Comoros: -11.64550 43.33330
"Moheli Scops-owl, Moheli Scops Owl",CR,106009820,Otus moheliensis,AVES,decreasing,Comoros: -11.64550 43.33330
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Comoros: -11.64550 43.33330
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Congo: -0.22802 15.82766
"Bouvier's Red Colobus, Pennant's Red Colobus",CR,39996,Procolobus pennantii,MAMMALIA,decreasing,Congo: -0.22802 15.82766
"African River-martin, African River Martin, African River-Martin",DD,106007076,Pseudochelidon eurystomina,AVES,decreasing,Congo: -0.22802 15.82766
Forest Horseshoe Bat,DD,19567,Rhinolophus silvestris,MAMMALIA,decreasing,Congo: -0.22802 15.82766
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Congo: -0.22802 15.82766
Harlequin Frog,CR,54560,Atelopus varius,AMPHIBIA,decreasing,Costa Rica: 9.74892 -83.75343
Harris's Olingo,DD,2611,Bassaricyon lasius,MAMMALIA,decreasing,Costa Rica: 9.74892 -83.75343
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Costa Rica: 9.74892 -83.75343
Central American Red Brocket,DD,136290,Mazama temama,MAMMALIA,decreasing,Costa Rica: 9.74892 -83.75343
Blue-sided Treefrog,EN,55288,Agalychnis annae,AMPHIBIA,decreasing,Costa Rica: 9.74892 -83.75343
Great Green Macaw,EN,106001550,Ara ambiguus,AVES,decreasing,Costa Rica: 9.74892 -83.75343
"Black-handed Spider Monkey, Central American Spider Monkey, Geoffroy's Spider Monkey,  Mono Colorado",EN,2279,Ateles geoffroyi,MAMMALIA,decreasing,Costa Rica: 9.74892 -83.75343
Golfodulcean Poison Frog,EN,55265,Phyllobates vittatus,AMPHIBIA,decreasing,Costa Rica: 9.74892 -83.75343
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Costa Rica: 9.74892 -83.75343
"Baird's Tapir, Central American Tapir",EN,21471,Tapirus bairdii,MAMMALIA,decreasing,Costa Rica: 9.74892 -83.75343
"Pel's Flying Squirrel, Pel's Scaly-tailed Squirrel",DD,1551,Anomalurus pelii,MAMMALIA,unknown,Côte d'Ivoire: 7.1317 -5.5230
"Emerald Starling, Iris Glossy-Starling",DD,106006770,Coccycolius iris,AVES,unknown,Côte d'Ivoire: 7.1317 -5.5230
Jentink's Duiker,EN,4140,Cephalophus jentinki,MAMMALIA,decreasing,Côte d'Ivoire: 7.1317 -5.5230
Pygmy Hippopotamus,EN,10032,Choeropsis liberiensis,MAMMALIA,decreasing,Côte d'Ivoire: 7.1317 -5.5230
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Côte d'Ivoire: 7.1317 -5.5230
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Côte d'Ivoire: 7.1317 -5.5230
"Baer's Hylomyscus, Baer's Wood Mouse",EN,10591,Hylomyscus baeri,MAMMALIA,decreasing,Côte d'Ivoire: 7.1317 -5.5230
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Côte d'Ivoire: 7.1317 -5.5230
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Côte d'Ivoire: 7.1317 -5.5230
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Côte d'Ivoire: 7.1317 -5.5230
"Bay Colobus, Red Colobus, West African Red Colobus, Western Red Colobus",EN,18240,Procolobus badius,MAMMALIA,decreasing,Côte d'Ivoire: 7.1317 -5.5230
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Croatia: 45.10000 15.20000
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Croatia: 45.10000 15.20000
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Croatia: 45.10000 15.20000
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Croatia: 45.10000 15.20000
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Croatia: 45.10000 15.20000
Cuban Kite,CR,160030037,Chondrohierax wilsonii,AVES,decreasing,Cuba: 21.52176 -77.78117
Cuban Crocodile,CR,5670,Crocodylus rhombifer,REPTILIA,no population data,Cuba: 21.52176 -77.78117
"Isla De La Juventud Tree Hutia, Southern Hutia",CR,14257,Mysateles meridionalis,MAMMALIA,decreasing,Cuba: 21.52176 -77.78117
Gundlach's Hawk,EN,106003462,Accipiter gundlachi,AVES,decreasing,Cuba: 21.52176 -77.78117
Cabrera's Hutia,EN,13215,Mesocapromys angelcabrerai,MAMMALIA,unknown,Cuba: 21.52176 -77.78117
"Eared Hutia, Large-eared Hutia",EN,13216,Mesocapromys auritus,MAMMALIA,stable,Cuba: 21.52176 -77.78117
"Chapman's Prehensile-tailed Hutia, Chapman's Prehensile Tailed Hutia, Gundlach's Hutia",EN,14255,Mysateles gundlachi,MAMMALIA,decreasing,Cuba: 21.52176 -77.78117
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Cuba: 21.52176 -77.78117
"Blue-headed Quail-dove, Blue-headed Quail-Dove",EN,106002603,Starnoenas cyanocephala,AVES,decreasing,Cuba: 21.52176 -77.78117
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Cyprus: 35.12641 33.42986
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Cyprus: 35.12641 33.42986
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Cyprus: 35.12641 33.42986
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Czech Republic: 49.81749 15.47296
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Czech Republic: 49.81749 15.47296
"Dryad Monkey, Dryas Guenon, Dryas Monkey, Salonga Guenon",CR,4216,Cercopithecus dryas,MAMMALIA,unknown,Democratic Republic of the Congo: -4.03833 21.75866
Golden-bellied Mangabey,DD,4207,Cercocebus chrysogaster,MAMMALIA,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
"Angolan Cusimanse, Ansorge's Cusimanse",DD,41594,Crossarchus ansorgei,MAMMALIA,unknown,Democratic Republic of the Congo: -4.03833 21.75866
"Annam Black Muntjac, Annamite Dark Muntjac, Annamite Muntjac, Pygmy Muntjac, Truongson Muntjac, Truong Son Muntjac",DD,161080,Mylothris polychroma,INSECTA,unknown,Democratic Republic of the Congo: -4.03833 21.75866
"African River-martin, African River Martin, African River-Martin",DD,106007076,Pseudochelidon eurystomina,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
Nahan's Francolin,EN,100600163,Francolinus nahani,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
"Eastern Gorilla, Mountain Gorilla",EN,39994,Gorilla beringei,MAMMALIA,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
"Bonobo, Dwarf Chimpanzee, Gracile Chimpanzee, Pygmy Chimpanzee",EN,15932,Pan paniscus,MAMMALIA,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Democratic Republic of the Congo: -4.03833 21.75866
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Denmark: 56.26392 9.50178
"Djibouti Francolin, Ochre-breasted Francolin, Pale-bellied Francolin, Tadjoura Francolin",CR,100600181,Francolinus ochropectus,AVES,decreasing,Djibouti: 11.82514 42.59027
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Djibouti: 11.82514 42.59027
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Djibouti: 11.82514 42.59027
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Djibouti: 11.82514 42.59027
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,Dominica: 15.41500 -61.37098
"Imperial Amazon, Imperial Parrot",EN,106001690,Amazona imperialis,AVES,increasing,Dominica: 15.41500 -61.37098
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Dominica: 15.41500 -61.37098
"Hispaniolan Hawk, Ridgway's Hawk",CR,106003501,Buteo ridgwayi,AVES,decreasing,Dominican Republic: 18.73569 -70.16265
"Bay-breasted Cuckoo, Rufous-breasted Cuckoo",EN,106001311,Coccyzus rufigularis,AVES,decreasing,Dominican Republic: 18.73569 -70.16265
"Cuvier's Hutia, Hispaniolan Hutia, Hispanolan Hutia",EN,17460,Plagiodontia aedium,MAMMALIA,decreasing,Dominican Republic: 18.73569 -70.16265
Black-capped Petrel,EN,106003911,Pterodroma hasitata,AVES,decreasing,Dominican Republic: 18.73569 -70.16265
"Haitian Solenodon, Hispaniolan Solenodon",EN,20321,Solenodon paradoxus,MAMMALIA,decreasing,Dominican Republic: 18.73569 -70.16265
"Black-headed Spider Monkey, Brown-headed Spider Monkey",CR,135446,Ateles fusciceps,MAMMALIA,decreasing,Ecuador: -1.83124 -78.18341
Waved Albatross,CR,106003955,Phoebastria irrorata,AVES,decreasing,Ecuador: -1.83124 -78.18341
Waved Albatross,CR,106003955,Phoebastria irrorata,AVES,decreasing,Ecuador: -1.83124 -78.18341
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Ecuador: -1.83124 -78.18341
Red Brocket,DD,29619,Mazama americana,MAMMALIA,unknown,Ecuador: -1.83124 -78.18341
"Little Coati, Mountain Coati",DD,14357,Nasuella olivacea,MAMMALIA,unknown,Ecuador: -1.83124 -78.18341
Great Green Macaw,EN,106001550,Ara ambiguus,AVES,decreasing,Ecuador: -1.83124 -78.18341
"Long-haired Spider Monkey, White-bellied Spider Monkey",EN,2276,Ateles belzebuth,MAMMALIA,decreasing,Ecuador: -1.83124 -78.18341
Lojan Lancehead,EN,174144,Bothrops lojanus,REPTILIA,unknown,Ecuador: -1.83124 -78.18341
"Gray-cheeked Parakeet, Grey-cheeked Parakeet",EN,106001624,Brotogeris pyrrhoptera,AVES,decreasing,Ecuador: -1.83124 -78.18341
"Banded Ground-cuckoo, Banded Ground Cuckoo, Banded Ground-Cuckoo",EN,106001332,Neomorphus radiolosus,AVES,decreasing,Ecuador: -1.83124 -78.18341
Baudo Guan,EN,100060074,Penelope ortoni,AVES,decreasing,Ecuador: -1.83124 -78.18341
"Giant Brazilian Otter, Giant Otter",EN,18711,Pteronura brasiliensis,MAMMALIA,decreasing,Ecuador: -1.83124 -78.18341
Galapagos Penguin,EN,106003864,Spheniscus mendiculus,AVES,decreasing,Ecuador: -1.83124 -78.18341
Galapagos Penguin,EN,106003864,Spheniscus mendiculus,AVES,decreasing,Ecuador: -1.83124 -78.18341
"Andean Tapir, Mountain Tapir, Woolly Tapir",EN,21473,Tapirus pinchaque,MAMMALIA,decreasing,Ecuador: -1.83124 -78.18341
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Egypt: 26.82055 30.80250
"Rhim, Slender-horned Gazelle",EN,8972,Gazella leptoceros,MAMMALIA,decreasing,Egypt: 26.82055 30.80250
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Egypt: 26.82055 30.80250
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,El Salvador: 13.79419 -88.89653
Central American Red Brocket,DD,136290,Mazama temama,MAMMALIA,decreasing,El Salvador: 13.79419 -88.89653
"Black-handed Spider Monkey, Central American Spider Monkey, Geoffroy's Spider Monkey,  Mono Colorado",EN,2279,Ateles geoffroyi,MAMMALIA,decreasing,El Salvador: 13.79419 -88.89653
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Equatorial Guinea: 1.65080 10.26789
"Bouvier's Red Colobus, Pennant's Red Colobus",CR,39996,Procolobus pennantii,MAMMALIA,decreasing,Equatorial Guinea: 1.65080 10.26789
"Preuss's Guenon, Preuss's Monkey",EN,4227,Cercopithecus preussi,MAMMALIA,decreasing,Equatorial Guinea: 1.65080 10.26789
Goliath Frog,EN,5263,Conraua goliath,AMPHIBIA,decreasing,Equatorial Guinea: 1.65080 10.26789
Drill,EN,12753,Mandrillus leucophaeus,MAMMALIA,unknown,Equatorial Guinea: 1.65080 10.26789
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Equatorial Guinea: 1.65080 10.26789
"African Ass, African Wild Ass, Ass",CR,7949,Equus africanus,MAMMALIA,decreasing,Eritrea: 15.17938 39.78233
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Eritrea: 15.17938 39.78233
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Eritrea: 15.17938 39.78233
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Eritrea: 15.17938 39.78233
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Eritrea: 15.17938 39.78233
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Eritrea: 15.17938 39.78233
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Eritrea: 15.17938 39.78233
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Estonia: 58.59527 25.01361
"African Ass, African Wild Ass, Ass",CR,7949,Equus africanus,MAMMALIA,decreasing,Ethiopia: 9.14500 40.48967
Silver Dik-dik,DD,12667,Madoqua piacentinii,MAMMALIA,decreasing,Ethiopia: 9.14500 40.48967
"Ethiopian Wolf, Simien Fox, Simien Jackal",EN,3748,Canis simensis,MAMMALIA,decreasing,Ethiopia: 9.14500 40.48967
"Walia, Walia Ibex",EN,3797,Capra walie,MAMMALIA,increasing,Ethiopia: 9.14500 40.48967
Grevy's Zebra,EN,7950,Equus grevyi,MAMMALIA,stable,Ethiopia: 9.14500 40.48967
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Ethiopia: 9.14500 40.48967
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Ethiopia: 9.14500 40.48967
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Ethiopia: 9.14500 40.48967
Nile Lechwe,EN,11034,Kobus megaceros,MAMMALIA,decreasing,Ethiopia: 9.14500 40.48967
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Ethiopia: 9.14500 40.48967
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Ethiopia: 9.14500 40.48967
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Ethiopia: 9.14500 40.48967
Mountain Nyala,EN,22046,Tragelaphus buxtoni,MAMMALIA,decreasing,Ethiopia: 9.14500 40.48967
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Falkland Islands (Islas Malvinas): -51.79625 -59.52361
Atlantic Petrel,EN,106003909,Pterodroma incerta,AVES,decreasing,Falkland Islands (Islas Malvinas): -51.79625 -59.52361
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,Fiji: -17.71337 178.06503
Fijian Free-tailed Bat,EN,4309,Tadarida bregullae,MAMMALIA,decreasing,Fiji: -17.71337 178.06503
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Finland: 61.92411 25.74815
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,France: 46.22764 2.21375
Balearic Shearwater,CR,160030026,Puffinus mauretanicus,AVES,decreasing,France: 46.22764 2.21375
"Valais Shrew, VALAIS SHREW",DD,136814,Sorex antinorii,MAMMALIA,unknown,France: 46.22764 2.21375
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,France: 46.22764 2.21375
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,France: 46.22764 2.21375
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,French Guiana: 3.93389 -53.12578
Red Brocket,DD,29619,Mazama americana,MAMMALIA,unknown,French Guiana: 3.93389 -53.12578
"Giant Brazilian Otter, Giant Otter",EN,18711,Pteronura brasiliensis,MAMMALIA,decreasing,French Guiana: 3.93389 -53.12578
"Polynesian Ground-dove, Polynesian Ground Dove, Polynesian Ground-Dove, Society Islands Ground-dove, White-collared Ground-dove",CR,106002614,Gallicolumba erythroptera,AVES,decreasing,French Polynesia: -17.67974 -149.40684
"Polynesian Imperial-pigeon, Polynesian Imperial Pigeon, Polynesian Imperial-Pigeon, Society Islands Pigeon",EN,106002720,Ducula aurorae,AVES,increasing,French Polynesia: -17.67974 -149.40684
"Marquesan Imperial-pigeon, Marquesan Imperial Pigeon, Marquesan Imperial-Pigeon, Nukuhiva Imperial-pigeon",EN,106002721,Ducula galeata,AVES,increasing,French Polynesia: -17.67974 -149.40684
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,French Polynesia: -17.67974 -149.40684
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,French Polynesia: -17.67974 -149.40684
"Kuhl's Lorikeet, Rimatara Lorikeet, Rimitara Lorikeet",EN,106001365,Vini kuhlii,AVES,decreasing,French Polynesia: -17.67974 -149.40684
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,French Southern and Antarctic Lands: -49.28037 69.34856
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,French Southern and Antarctic Lands: -49.28037 69.34856
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Gabon: -0.80369 11.60944
"African River-martin, African River Martin, African River-Martin",DD,106007076,Pseudochelidon eurystomina,AVES,decreasing,Gabon: -0.80369 11.60944
Forest Horseshoe Bat,DD,19567,Rhinolophus silvestris,MAMMALIA,decreasing,Gabon: -0.80369 11.60944
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Gabon: -0.80369 11.60944
"Sociable Lapwing, Sociable Plover",CR,106003172,Vanellus gregarius,AVES,decreasing,Georgia: 42.1902 43.2781
"West Caucasian Tur, Western Tur",EN,3794,Capra caucasica,MAMMALIA,decreasing,Georgia: 42.1902 43.2781
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Georgia: 42.1902 43.2781
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Georgia: 42.1902 43.2781
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Georgia: 42.1902 43.2781
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Georgia: 42.1902 43.2781
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Germany: 51.16569 10.45153
"Pel's Flying Squirrel, Pel's Scaly-tailed Squirrel",DD,1551,Anomalurus pelii,MAMMALIA,unknown,Ghana: 7.94653 -1.02319
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Ghana: 7.94653 -1.02319
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Ghana: 7.94653 -1.02319
"Baer's Hylomyscus, Baer's Wood Mouse",EN,10591,Hylomyscus baeri,MAMMALIA,decreasing,Ghana: 7.94653 -1.02319
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Ghana: 7.94653 -1.02319
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Ghana: 7.94653 -1.02319
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Ghana: 7.94653 -1.02319
"Bay Colobus, Red Colobus, West African Red Colobus, Western Red Colobus",EN,18240,Procolobus badius,MAMMALIA,decreasing,Ghana: 7.94653 -1.02319
