Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Regionally Extinct
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Germany: 51.16569 10.45153
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Ghana: 7.94653 -1.02319
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,Guadeloupe: 16.26500 -61.55100
"Marianas Scrubfowl, Micronesian Megapode, Micronesian Scrubfowl",EN,100600125,Megapodius laperouse,AVES,decreasing,Guam: 13.44430 144.79373
"Mariana Fruit-dove, Mariana Fruit Dove, Mariana Fruit-Dove",EN,106002678,Ptilinopus roseicapilla,AVES,decreasing,Guam: 13.44430 144.79373
"Hispaniolan Hawk, Ridgway's Hawk",CR,106003501,Buteo ridgwayi,AVES,decreasing,Haiti: 18.97119 -72.28521
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Hungary: 47.16249 19.50330
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Hungary: 47.16249 19.50330
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,India: 20.59368 78.96288
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,India: 20.59368 78.96288
"Green-necked Peafowl, Green Peafowl",EN,100600286,Pavo muticus,AVES,decreasing,India: 20.59368 78.96288
"Banteng, Tembadau",EN,2888,Bos javanicus,MAMMALIA,decreasing,India: 20.59368 78.96288
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Indonesia: -0.78927 113.92133
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Iran: 32.42791 53.68805
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Iraq: 33.22319 43.67929
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Iraq: 33.22319 43.67929
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Israel: 31.04605 34.85161
"Asian Crested Ibis, Crested Ibis, Japanese Crested Ibis",EN,106003801,Nipponia nippon,AVES,increasing,Japan: 36.20482 138.25292
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Jordan: 30.58516 36.23841
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Jordan: 30.58516 36.23841
"Bactrian Camel, Wild Bactrian Camel",CR,63543,Camelus ferus,MAMMALIA,decreasing,Kazakhstan: 48.01957 66.92368
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Kazakhstan: 48.01957 66.92368
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Kazakhstan: 48.01957 66.92368
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Kazakhstan: 48.01957 66.92368
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Kuwait: 29.31166 47.48177
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Kyrgyzstan: 41.20438 74.76610
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Kyrgyzstan: 41.20438 74.76610
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Laos: 19.85627 102.49550
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,Laos: 19.85627 102.49550
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Laos: 19.85627 102.49550
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Latvia: 56.87964 24.60319
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Lebanon: 33.9270 35.6951
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Lebanon: 33.9270 35.6951
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Libya: 26.33510 17.22833
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Libya: 26.33510 17.22833
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Lithuania: 55.16944 23.88127
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Lithuania: 55.16944 23.88127
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Malaysia: 4.21048 101.97577
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Malaysia: 4.21048 101.97577
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,Malaysia: 4.21048 101.97577
"Green-necked Peafowl, Green Peafowl",EN,100600286,Pavo muticus,AVES,decreasing,Malaysia: 4.21048 101.97577
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,Martinique: 14.64153 -61.02417
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Mauritania: 21.00789 -10.94083
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Mauritania: 21.00789 -10.94083
Mascarene Petrel,CR,106003878,Pseudobulweria aterrima,AVES,decreasing,Mauritius: -20.34840 57.55215
Abbott's Booby,EN,106003651,Papasula abbotti,AVES,decreasing,Mauritius: -20.34840 57.55215
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Mexico: 19.0000 -99.0000
Whooping Crane,EN,106002796,Grus americana,AVES,increasing,Mexico: 19.0000 -99.0000
"Mongolian Saiga, Saiga, Saiga Antelope",CR,19832,Saiga tatarica,MAMMALIA,decreasing,Moldova: 47.41163 28.36989
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Moldova: 47.41163 28.36989
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Montenegro: 42.70868 19.37439
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Morocco: 31.79170 -7.09262
"Imperial Heron, White-bellied Heron",CR,106003723,Ardea insignis,AVES,decreasing,Nepal: 28.39486 84.12401
Pygmy Hog,CR,21172,Porcula salvania,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
Pink-headed Duck,CR,100600468,Rhodonessa caryophyllacea,AVES,unknown,Nepal: 28.39486 84.12401
"Chiru, Tibetan Antelope",EN,15967,Pantholops hodgsonii,MAMMALIA,decreasing,Nepal: 28.39486 84.12401
"Polynesian Storm Petrel, Polynesian Storm-Petrel, White-throated Storm-petrel, White-throated Storm Petrel",EN,106003975,Nesofregetta fuliginosa,AVES,decreasing,New Caledonia: -20.90431 165.61804
Phoenix Petrel,EN,106003893,Pterodroma alba,AVES,decreasing,New Zealand: -40.90056 174.88597
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Nigeria: 9.08200 8.67528
Pygmy Hippopotamus,EN,10032,Choeropsis liberiensis,MAMMALIA,decreasing,Nigeria: 9.08200 8.67528
"Asian Crested Ibis, Crested Ibis, Japanese Crested Ibis",EN,106003801,Nipponia nippon,AVES,increasing,North Korea: 40.33985 127.51009
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Pakistan: 30.37532 69.34512
Greater Adjutant,EN,106003842,Leptoptilos dubius,AVES,decreasing,Pakistan: 30.37532 69.34512
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Pakistan: 30.37532 69.34512
Short-tailed Chinchilla,CR,4651,Chinchilla chinchilla,MAMMALIA,decreasing,Peru: -9.18997 -75.01515
"Mongolian Saiga, Saiga, Saiga Antelope",CR,19832,Saiga tatarica,MAMMALIA,decreasing,Poland: 51.91944 19.14514
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Poland: 51.91944 19.14514
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Poland: 51.91944 19.14514
"Asian Wild Horse, Mongolian Wild Horse, Przewalski's Horse",EN,41763,Equus ferus,MAMMALIA,increasing,Russian Federation: 61.52401 105.31876
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Russian Federation: 61.52401 105.31876
"Black Rhinoceros, Hook-lipped Rhinoceros",CR,6557,Diceros bicornis,MAMMALIA,increasing,Rwanda: -1.94028 29.87389
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Rwanda: -1.94028 29.87389
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,Saint Kitts and Nevis: 17.35782 -62.78300
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Saint Kitts and Nevis: 17.35782 -62.78300
"Lesser Antillean Green Iguana, West Indian Iguana",EN,10800,Iguana delicatissima,REPTILIA,decreasing,Saint Martin: 18.08255 -63.05225
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Senegal: 14.49740 -14.45236
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Serbia: 44.01652 21.00586
Abbott's Booby,EN,106003651,Papasula abbotti,AVES,decreasing,Seychelles: -4.67957 55.49198
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Sierra Leone: 8.46055 -11.77989
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Singapore: 1.35208 103.81984
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Slovakia: 48.66903 19.69902
Grevy's Zebra,EN,7950,Equus grevyi,MAMMALIA,stable,Somalia: 5.15215 46.19962
"Asian Crested Ibis, Crested Ibis, Japanese Crested Ibis",EN,106003801,Nipponia nippon,AVES,increasing,South Korea: 35.90776 127.76692
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Sri Lanka: 7.87305 80.77180
"Bald Ibis, Hermit Ibis, Northern Bald Ibis, Waldrapp",CR,106003791,Geronticus eremita,AVES,decreasing,Sudan: 12.86281 30.21764
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Sudan: 12.86281 30.21764
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Swaziland: -26.52250 31.46587
European Mink,CR,14018,Mustela lutreola,MAMMALIA,decreasing,Switzerland: 46.81819 8.22751
"Mesopotamian Fallow Deer, Persian Fallow Deer",EN,6232,Dama mesopotamica,MAMMALIA,increasing,Syria: 34.80208 38.99681
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Syria: 34.80208 38.99681
Anderson's Crocodile Newt,EN,59446,Echinotriton andersoni,AMPHIBIA,decreasing,Taiwan: 23.69781 120.96052
"Asian Crested Ibis, Crested Ibis, Japanese Crested Ibis",EN,106003801,Nipponia nippon,AVES,increasing,Taiwan: 23.69781 120.96052
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Tajikistan: 38.86103 71.27609
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,Tajikistan: 38.86103 71.27609
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Thailand: 15.87003 100.99254
"Black Ibis, White-shouldered Ibis",CR,106003799,Pseudibis davisoni,AVES,decreasing,Thailand: 15.87003 100.99254
Giant Ibis,CR,106003800,Thaumatibis gigantea,AVES,decreasing,Thailand: 15.87003 100.99254
Sumatran Rhinoceros,CR,6553,Dicerorhinus sumatrensis,MAMMALIA,decreasing,Thailand: 15.87003 100.99254
Javan Rhinoceros,CR,19495,Rhinoceros sondaicus,MAMMALIA,unknown,Thailand: 15.87003 100.99254
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,The Gambia: 13.44318 -15.31014
