Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Armenia,40.06910,45.03819,,,,,,,,,,,,,,,,,,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Armenia,40.06910,45.03819,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Armenia,40.06910,45.03819,,,,,,,,,,,,,,,,,,
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Armenia,40.06910,45.03819,,,,,,,,,,,,,,,,,,
"Baudin's Black-Cockatoo, Long-billed Black Cockatoo, Long-billed Black-Cockatoo, White-tailed Black-Cockatoo",EN,106001390,Calyptorhynchus baudinii,AVES,decreasing,Australia,-25.27440,133.77514,,,,,,,,,,,,,,,,,,
"Carnaby's Black-Cockatoo, Short-billed Black Cockatoo, Short-billed Black-Cockatoo, Slender-billed Black-Cockatoo",EN,106001391,Calyptorhynchus latirostris,AVES,decreasing,Australia,-25.27440,133.77514,,,,,,,,,,,,,,,,,,
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Australia,-25.27440,133.77514,,,,,,,,,,,,,,,,,,
Swift Parrot,EN,106001488,Lathamus discolor,AVES,decreasing,Australia,-25.27440,133.77514,,,,,,,,,,,,,,,,,,
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Australia,-25.27440,133.77514,,,,,,,,,,,,,,,,,,
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Austria,47.51623,14.55007,,,,,,,,,,,,,,,,,,
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Austria,47.51623,14.55007,,,,,,,,,,,,,,,,,,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Austria,47.51623,14.55007,,,,,,,,,,,,,,,,,,
