Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Possibly Extinct
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Mali: 17.57069 -3.99617
Imperial Woodpecker,CR,100600718,Campephilus imperialis,AVES,unknown,Mexico: 19.0000 -99.0000
"Omilteme Cottontail, Omiltemi Rabbit",EN,21207,Sylvilagus insonus,MAMMALIA,unknown,Mexico: 19.0000 -99.0000
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Nigeria: 9.08200 8.67528
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,North Korea: 40.33985 127.51009
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,Pakistan: 30.37532 69.34512
Fishing Cat,EN,18150,Prionailurus viverrinus,MAMMALIA,decreasing,Pakistan: 30.37532 69.34512
Telefomin Cuscus,CR,16851,Phalanger matanim,MAMMALIA,unknown,Papua New Guinea: -6.31499 143.95555
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,Paraguay: -23.44250 -58.44383
Pink-headed Duck,CR,59770,Risiocnemis seidenschwarzi,INSECTA,unknown,Philippines: 12.87972 121.77402
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,Russian Federation: 61.52401 105.31876
"Asian Crested Ibis, Crested Ibis, Japanese Crested Ibis",EN,106003801,Nipponia nippon,AVES,increasing,Russian Federation: 61.52401 105.31876
Samoan Moorhen,CR,106002933,Gallinula pacifica,AVES,unknown,Samoa: -13.75903 -172.10463
blank,CR,168141,Conturbatia crenata,GASTROPODA,unknown,Seychelles: -4.67957 55.49198
Vanikoro Flying Fox,CR,18765,Pteropus tuberculatus,MAMMALIA,unknown,Solomon Islands: -9.64571 160.15619
"Grey Ox, Kouprey",CR,2890,Bos sauveli,MAMMALIA,unknown,Thailand: 15.87003 100.99254
"Brow-antlered Deer, Eld's Deer, Thamin",EN,4265,Rucervus eldii,MAMMALIA,decreasing,Thailand: 15.87003 100.99254
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Togo: 8.61954 0.82478
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Togo: 8.61954 0.82478
Red Siskin,EN,106008818,Carduelis cucullata,AVES,decreasing,Trinidad and Tobago: 10.69180 -61.22250
"Siberian Crane, Siberian White Crane, Snow Crane",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,Turkmenistan: 38.96972 59.55628
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Uganda: 1.37333 32.29028
Arabian Tahr,EN,9918,Arabitragus jayakari,MAMMALIA,decreasing,United Arab Emirates: 23.42408 53.84782
Eskimo Curlew,CR,106003008,Numenius borealis,AVES,unknown,United States of America: 37.09024 -95.71289
"Ou, 'O'u",CR,106008899,Psittirostra psittacea,AVES,unknown,United States of America: 37.09024 -95.71289
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Vietnam: 14.05832 108.27720
"Grey Ox, Kouprey",CR,2890,Bos sauveli,MAMMALIA,unknown,Vietnam: 14.05832 108.27720
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Vietnam: 14.05832 108.27720
"Chinese Merganser, Scaly-sided Merganser",EN,100600501,Mergus squamatus,AVES,decreasing,Vietnam: 14.05832 108.27720
"Brow-antlered Deer, Eld's Deer, Thamin",EN,4265,Rucervus eldii,MAMMALIA,decreasing,Vietnam: 14.05832 108.27720
