Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
Semirechensk Salamander,EN,19304,Ranodon sibiricus,AMPHIBIA,decreasing,Kazakhstan,48.01957,66.92368,,,,,,,,,,,,,,,,,,
Golden Mantella,CR,12776,Mantella aurantiaca,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Cowan's Mantella,CR,57441,Mantella cowanii,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Black-eared Mantella,CR,57448,Mantella milotympanum,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,57505,Boehmantis microtympanum,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Bernhard's Mantella,EN,57439,Mantella bernhardi,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Yellow Mantella,EN,57442,Mantella crocea,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Blue-legged Mantella,EN,57443,Mantella expectata,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Green Mantella,EN,57451,Mantella viridis,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
"Cuvier's Hutia, Hispaniolan Hutia, Hispanolan Hutia",EN,57959,Platypelis milloti,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Tasmanian Devil,EN,57995,Scaphiophryne boribory,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Tasmanian Devil,EN,57998,Scaphiophryne gottlebei,AMPHIBIA,decreasing,Madagascar,-18.76695,46.86911,,,,,,,,,,,,,,,,,,
Lake Lerma Salamander,CR,1093,Ambystoma lermaense,AMPHIBIA,decreasing,Mexico,19.0000,-99.0000,,,,,,,,,,,,,,,,,,
"Green-cheeked Amazon, Red-crowned Amazon, Red-crowned Parrot",EN,59049,Ambystoma altamirani,AMPHIBIA,decreasing,Mexico,19.0000,-99.0000,,,,,,,,,,,,,,,,,,
Albanian Water Frog,EN,58715,Pelophylax shqipericus,AMPHIBIA,decreasing,Montenegro,42.70868,19.37439,,,,,,,,,,,,,,,,,,
"Giant Ditch Frog, Mountain Chicken",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,Montserrat,16.74250,-62.18737,,,,,,,,,,,,,,,,,,
Harlequin Frog,CR,54560,Atelopus varius,AMPHIBIA,decreasing,Panama,8.53798,-80.78213,,,,,,,,,,,,,,,,,,
"Golden Arrow Poison Frog, Golden Frog, Panamanian Golden Frog, Zetek's Golden Frog",CR,54563,Atelopus zeteki,AMPHIBIA,decreasing,Panama,8.53798,-80.78213,,,,,,,,,,,,,,,,,,
blank,EN,193430,Ranitomeya summersi,AMPHIBIA,decreasing,Peru,-9.18997,-75.01515,,,,,,,,,,,,,,,,,,
Bannerman's Turaco,EN,56329,Telmatobius brachydactylus,AMPHIBIA,decreasing,Peru,-9.18997,-75.01515,,,,,,,,,,,,,,,,,,
