Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
Katambora Orange,DD,63211,Ceriagrion katamborae,INSECTA,unknown,Botswana,-22.32847,24.68487,,,,,,,,,,,,,,,,,,
"Annam Black Muntjac, Annamite Dark Muntjac, Annamite Muntjac, Pygmy Muntjac, Truongson Muntjac, Truong Son Muntjac",DD,161080,Mylothris polychroma,INSECTA,unknown,Burundi,-3.37306,29.91889,,,,,,,,,,,,,,,,,,
"Annam Black Muntjac, Annamite Dark Muntjac, Annamite Muntjac, Pygmy Muntjac, Truongson Muntjac, Truong Son Muntjac",DD,161080,Mylothris polychroma,INSECTA,unknown,Democratic Republic of the Congo,-4.03833,21.75866,,,,,,,,,,,,,,,,,,
Katambora Orange,DD,63211,Ceriagrion katamborae,INSECTA,unknown,Namibia,-22.95764,18.49041,,,,,,,,,,,,,,,,,,
"Annam Black Muntjac, Annamite Dark Muntjac, Annamite Muntjac, Pygmy Muntjac, Truongson Muntjac, Truong Son Muntjac",DD,161080,Mylothris polychroma,INSECTA,unknown,Rwanda,-1.94028,29.87389,,,,,,,,,,,,,,,,,,
Katambora Orange,DD,63211,Ceriagrion katamborae,INSECTA,unknown,Zambia,-13.13390,27.84933,,,,,,,,,,,,,,,,,,
Pink-headed Duck,CR,59770,Risiocnemis seidenschwarzi,INSECTA,unknown,,,,Philippines,12.87972,121.77402,,,,,,,,,,,,,,,
