Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Asian Buffalo, Asiatic Buffalo, Indian Buffalo, Indian Water Buffalo, Water Buffalo, Wild Asian Buffalo, Wild Water Buffalo",EN,3129,Bubalus arnee,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
Chinese Pangolin,EN,12764,Manis pentadactyla,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Alpine Musk Deer, Himalayan Musk Deer",EN,13895,Moschus chrysogaster,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Black Musk Deer, Dusky Musk Deer",EN,13896,Moschus fuscus,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Himalayan Muskdeer, Himalayan Musk-deer, Himalayan Musk Deer",EN,13901,Moschus leucogaster,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
Tiger,EN,15955,Panthera tigris,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Ounce, Snow Leopard",EN,22732,Panthera uncia,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
Fishing Cat,EN,18150,Prionailurus viverrinus,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"Gee's Golden Langur,  Golden Leaf Monkey",EN,22037,Trachypithecus geei,MAMMALIA,decreasing,Bhutan,27.51416,90.43360,,,,,,,,,,,,,,,,,,
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
"Black-faced Black Spider Monkey, Chamek Spider Monkey, Peruvian Black Spider Monkey",EN,41547,Ateles chamek,MAMMALIA,decreasing,Bolivia,-16.29015,-63.58865,,,,,,,,,,,,,,,,,,
