Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Gooty Tarantula, Metallic Tarantula, Peacock Parachute Spider, Peacock Tarantula, Salepurgu",CR,63563,Poecilotheria metallica,ARACHNIDA,decreasing,India,20.59368,78.96288,,,,,,,,,,,,,,,,,,
Parambikulam Large Burrowing Spider,EN,63560,Haploclastus kayi,ARACHNIDA,decreasing,India,20.59368,78.96288,,,,,,,,,,,,,,,,,,
"Beautiful Parachute Spider, Finely Formed Parachute Spider",EN,63561,Poecilotheria formosa,ARACHNIDA,decreasing,India,20.59368,78.96288,,,,,,,,,,,,,,,,,,
"Bengal Ornamental, Wonderful Parachute Spider",EN,63564,Poecilotheria miranda,ARACHNIDA,decreasing,India,20.59368,78.96288,,,,,,,,,,,,,,,,,,
"Reddish Parachute Spider, Red Slate Ornamental, Rufus Parachute Spider, Travancore Slate-red",EN,63567,Poecilotheria rufilata,ARACHNIDA,decreasing,India,20.59368,78.96288,,,,,,,,,,,,,,,,,,
